Date,Open,High,Low,Close,Volume
2020-02-27,0.8075,0.9063,0.7962,0.8675,15517900
2020-02-28,0.8350,0.9300,0.8350,0.9000,18768748
2020-03-02,0.9000,0.9625,0.8475,0.9575,12833712
2020-03-03,0.9700,0.9725,0.8750,0.9075,17129816
2020-03-04,0.9275,0.9575,0.8650,0.9425,17020180
2020-03-05,0.9250,0.9975,0.8975,0.9900,14397708
2020-03-06,0.9600,1.0175,0.9400,0.9800,8387208
2020-03-09,0.8975,0.9925,0.8750,0.9250,10926024
2020-03-10,0.9850,1.0650,0.9500,1.0575,19450876
2020-03-11,1.0350,1.0625,1.0000,1.0350,17656388
2020-03-12,0.9250,1.0100,0.8700,0.9950,20486468
2020-03-13,1.0325,1.1625,0.9613,1.1475,23142540
2020-03-16,0.9825,1.1425,0.9750,1.0925,19464784
2020-03-17,1.1000,1.1625,1.0275,1.0575,14248656
2020-03-18,1.0250,1.0625,0.8750,0.9425,14606680
2020-03-19,0.9275,1.0500,0.8875,1.0475,20145468
2020-03-20,1.0200,1.0200,0.9125,0.9400,30888776
2020-03-23,0.8950,0.9650,0.8750,0.9525,24033484
2020-03-24,0.9875,1.0525,0.9725,1.0400,27222596
2020-03-25,1.0375,1.1225,1.0100,1.0425,14368236
2020-03-26,1.0600,1.1775,1.0600,1.1025,24629356
2020-03-27,1.2350,1.2725,1.0375,1.0550,28091116
2020-03-30,1.0550,1.0675,0.9125,0.9125,13391656
2020-03-31,0.9075,0.9500,0.8750,0.8750,9203600
2020-04-01,0.8625,0.8725,0.7800,0.8125,18250252
2020-04-02,0.8150,0.8375,0.7125,0.7125,16228688
2020-04-03,0.7125,0.7350,0.6425,0.7000,15321744
2020-04-06,0.7150,0.8000,0.7063,0.7725,13344576
2020-04-07,0.8475,0.8600,0.7750,0.8175,11347436
2020-04-08,0.8075,0.9175,0.8000,0.8525,11534508
2020-04-09,0.9000,1.0625,0.8725,0.9725,23634464
2020-04-13,1.0625,1.1900,1.0400,1.1850,27366136
2020-04-14,1.3025,1.6175,1.2850,1.4875,53965816
2020-04-15,1.4150,1.4175,1.2250,1.3175,29936940
2020-04-16,1.2800,1.3600,1.2200,1.2575,13392884
2020-04-17,1.3050,1.3200,1.1075,1.2200,22492464
2020-04-20,1.2125,1.4750,1.1950,1.4025,24336184
2020-04-21,1.3075,1.3250,1.1900,1.1950,16433460
2020-04-22,1.2850,1.2925,1.2075,1.2225,10586432
2020-04-23,1.1875,1.2225,1.1450,1.1750,9061692
2020-04-24,1.1950,1.2125,1.1650,1.1925,8944764
2020-04-27,1.2125,1.4975,1.2025,1.4550,29067424
2020-04-28,1.4800,1.5100,1.2650,1.4100,20800756
2020-04-29,1.4575,1.5225,1.3626,1.5100,13478216
2020-04-30,1.4675,1.4938,1.4100,1.4325,8693236
2020-05-01,1.4125,1.5450,1.3625,1.5125,15981248
2020-05-04,1.4600,1.4825,1.3500,1.3700,16259312
2020-05-05,1.3875,1.4075,1.3375,1.3475,8420956
2020-05-06,1.3500,1.3500,1.2250,1.2325,13473228
2020-05-07,1.2075,1.2338,1.1625,1.2175,10003000
2020-05-08,1.2200,1.2975,1.2050,1.2450,9410236
2020-05-11,1.2300,1.2398,1.1875,1.1900,6790936
2020-05-12,1.1950,1.2300,1.1150,1.1350,10554360
2020-05-13,1.1350,1.1350,1.0175,1.0525,11528508
2020-05-14,1.0375,1.0475,0.9900,1.0325,8012388
2020-05-15,1.0125,1.1125,1.0103,1.0550,7761368
2020-05-18,1.1000,1.1575,1.0900,1.1450,9456688
2020-05-19,1.1450,1.1875,1.0925,1.1100,7319112
2020-05-20,1.1250,1.1725,1.0838,1.1075,10174180
2020-05-21,1.1125,1.1625,1.1000,1.1100,7887540
2020-05-22,1.1150,1.1225,1.0325,1.0450,9516116
2020-05-26,1.0850,1.1525,1.0825,1.1050,14182768
2020-05-27,1.1425,1.1775,1.0888,1.1725,12566616
2020-05-28,1.1875,1.1900,1.0750,1.0825,8734212
2020-05-29,1.0825,1.1050,1.0125,1.0150,15846892
2020-06-01,1.0300,1.0888,1.0050,1.0325,10446432
2020-06-02,1.0675,1.0770,1.0150,1.0450,9477596
2020-06-03,1.0600,1.1300,1.0500,1.1100,12067500
2020-06-04,1.1100,1.1800,1.0925,1.1175,13355652
2020-06-05,1.0725,1.1025,1.0225,1.0350,25083580
2020-06-08,1.0700,1.2846,1.0684,1.2525,40457448
2020-06-09,1.2500,1.2500,1.1380,1.2400,31960848
2020-06-10,1.1950,1.3825,1.1700,1.2675,42346560
2020-06-11,1.1600,1.2250,1.0450,1.0925,24853396
2020-06-12,1.1500,1.1950,1.0975,1.1800,17508420
2020-06-15,1.1250,1.1925,1.1050,1.1725,15636048
2020-06-16,1.2375,1.2375,1.1275,1.1600,12485064
2020-06-17,1.1350,1.2078,1.1325,1.1900,14371088
2020-06-18,1.1675,1.2375,1.1625,1.2375,13676524
2020-06-19,1.2375,1.2710,1.1725,1.2200,29465832
2020-06-22,1.1975,1.2375,1.1788,1.2175,12715464
2020-06-23,1.2375,1.2475,1.2000,1.2075,12817836
2020-06-24,1.2075,1.2100,1.0950,1.1025,11897384
2020-06-25,1.0825,1.1350,1.0738,1.1150,9803020
2020-06-26,1.1200,1.1250,1.0675,1.0875,15204620
2020-06-29,1.0875,1.1300,1.0750,1.0950,8524780
2020-06-30,1.0825,1.1275,1.0500,1.0850,15549704
2020-07-01,1.0775,1.1250,1.0775,1.1100,9214868
2020-07-02,1.1225,1.1275,1.0725,1.0725,7550204
2020-07-06,1.0775,1.0850,1.0475,1.0600,8553244
2020-07-07,1.0500,1.0619,1.0150,1.0225,9826544
2020-07-08,1.0250,1.0725,1.0075,1.0650,8198304
2020-07-09,1.0675,1.0800,1.0325,1.0525,7970484
2020-07-10,1.0500,1.0950,1.0461,1.0850,5641268
2020-07-13,1.0875,1.1370,1.0650,1.0650,16864860
2020-07-14,1.0550,1.0775,1.0000,1.0200,9197992
2020-07-15,1.0325,1.0725,1.0325,1.0475,5890260
2020-07-16,1.0475,1.0500,1.0225,1.0425,5320592
2020-07-17,1.0400,1.0575,0.9845,0.9900,12263476
2020-07-20,0.9875,1.0150,0.9425,0.9625,13581548
2020-07-21,0.9750,1.0225,0.9700,1.0025,13351652
2020-07-22,1.0050,1.0300,0.9800,1.0275,10075788
2020-07-23,1.0225,1.0763,1.0150,1.0275,12949800
2020-07-24,1.0150,1.0575,1.0025,1.0075,8863440
2020-07-27,1.0050,1.0300,0.9875,1.0025,9876776
2020-07-28,0.9900,1.0123,0.9800,0.9850,18218040
2020-07-29,0.9850,1.0450,0.9800,1.0150,11511760
2020-07-30,1.0000,1.0575,0.9925,1.0250,9585916
2020-07-31,1.0150,1.0400,0.9975,1.0025,7520692
2020-08-03,1.0075,1.0625,0.9988,1.0375,10057288
2020-08-04,1.0325,1.1844,1.0325,1.1075,41408584
2020-08-05,1.1250,1.1900,1.0613,1.1575,19686920
2020-08-06,1.1500,1.1638,1.0950,1.1075,7597484
